sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
GREENPLY,₹ 1770.03 Cr.,₹ 1793.24 Cr.,12.29 Cr.,14.3,2.92,₹ 1,0.34%,₹ 20.49 Cr.,₹ 43.69 Cr.,52.32%,35.60%,19.63%,24.48%,,,,,,,
SESHAPAPER,₹ 1637.25 Cr.,₹ 1312.03 Cr.,6.31 Cr.,5.05,1.12,₹ 2,0.96%,₹ 329.34 Cr.,₹ 4.12 Cr.,42.78%,73.31%,8.94%,12.20%,,,,,,,
SANGHIIND,₹ 1446.63 Cr.,₹ 2779.21 Cr.,25.83 Cr.,0,0.87,₹ 10,0%,₹ 45.73 Cr.,₹ 1378.31 Cr.,72.72%,20.25%,2.24%,4.33%,,,,,,,
FMGOETZE,₹ 1682.59 Cr.,₹ 1558.95 Cr.,5.56 Cr.,19.22,1.91,₹ 10,0%,₹ 123.64 Cr.,₹ 0 Cr.,74.98%,21.63%,6.73%,9.67%,,,,,,,
ORISSAMINE,₹ 1542.39 Cr.,₹ 1713.11 Cr.,0.6 Cr.,0,0,₹ 1,0%,₹ 162.64 Cr.,₹ 333.36 Cr.,50.01%,0%,-134.21%,4.93%,,,,,,,
TIDEWATER,₹ 1710.08 Cr.,₹ 1566.62 Cr.,1.74 Cr.,17.59,2.44,₹ 2,5.58%,₹ 143.46 Cr.,₹ 0 Cr.,57.28%,18.68%,15.49%,20.02%,,,,,,,
FAIRCHEMOR,₹ 1260.62 Cr.,₹ 1322.49 Cr.,1.3 Cr.,29.4,5.11,₹ 10,1.33%,₹ 0.16 Cr.,₹ 62.03 Cr.,58.88%,62.19%,33.88%,37.75%,,,,,,,
ADFFOODS,₹ 1628.73 Cr.,₹ 1574.43 Cr.,2.2 Cr.,31.61,4.02,₹ 10,0.54%,₹ 54.3 Cr.,₹ 0 Cr.,36.59%,27.62%,13.62%,17.87%,,,,,,,
GENESYS,₹ 1539.96 Cr.,₹ 1529.17 Cr.,3.77 Cr.,0,3.53,₹ 5,0%,₹ 22.22 Cr.,₹ 11.42 Cr.,40.60%,50.37%,-37.40%,-33%,,,,,,,
ANDHRAPAP,₹ 1754.46 Cr.,₹ 1749.49 Cr.,3.98 Cr.,4.12,1.23,₹ 10,1.70%,₹ 54.81 Cr.,₹ 49.85 Cr.,72.24%,55.65%,13.51%,18.03%,,,,,,,
STOVEKRAFT,₹ 1501.99 Cr.,₹ 1645.11 Cr.,3.3 Cr.,29.79,3.67,₹ 10,0%,₹ 12.05 Cr.,₹ 155.18 Cr.,56.19%,32.30%,16.95%,17.52%,,,,,,,
HERITGFOOD,₹ 1427.67 Cr.,₹ 1396.8 Cr.,9.28 Cr.,23.42,1.99,₹ 5,1.67%,₹ 34.98 Cr.,₹ 4.11 Cr.,39.21%,9.80%,16.27%,21.37%,,,,,,,
DEN,₹ 1498.48 Cr.,₹ 870.74 Cr.,47.72 Cr.,8.29,0.46,₹ 10,0%,₹ 627.74 Cr.,₹ 0 Cr.,74.90%,-6.97%,6.23%,6.26%,,,,,,,
DHAMPURSUG,₹ 1433.31 Cr.,₹ 2257.37 Cr.,6.64 Cr.,11.43,1.46,₹ 10,2.78%,₹ 55.06 Cr.,₹ 879.12 Cr.,49.08%,-10.14%,11.99%,11.42%,,,,,,,
MTNL,₹ 1376.55 Cr.,₹ 27893.73 Cr.,63 Cr.,0,0,₹ 10,0%,₹ 89.29 Cr.,₹ 26606.47 Cr.,56.82%,-17.94%,0%,-5.28%,,,,,,,
BOMDYEING,₹ 1452.97 Cr.,₹ 5427.72 Cr.,20.65 Cr.,0,0,₹ 2,0%,₹ 467 Cr.,₹ 4441.75 Cr.,53.66%,67.66%,0%,-0.27%,,,,,,,
DATAMATICS,₹ 1827.43 Cr.,₹ 1806.58 Cr.,5.89 Cr.,19.87,2.49,₹ 5,1.22%,₹ 60.85 Cr.,₹ 40 Cr.,70.91%,26.41%,18.05%,22.80%,,,,,,,
LUMAXTECH,₹ 1504.58 Cr.,₹ 1504.19 Cr.,6.82 Cr.,20.8,2.67,₹ 2,1.58%,₹ 80.84 Cr.,₹ 80.44 Cr.,55.98%,28.14%,11.99%,15.29%,,,,,,,
SALASAR,₹ 1455.4 Cr.,₹ 1688.16 Cr.,31.57 Cr.,43.89,3.78,₹ 1,0.02%,₹ 10.39 Cr.,₹ 243.14 Cr.,63.07%,18.44%,11.93%,13%,,,,,,,
SHALBY,₹ 1482.97 Cr.,₹ 1419.85 Cr.,10.8 Cr.,18.98,1.56,₹ 10,0.72%,₹ 104.43 Cr.,₹ 41.31 Cr.,74.12%,54.58%,7.95%,11.33%,,,,,,,
