sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
IMPAL,₹ 892.2 Cr.,₹ 883.64 Cr.,1.25 Cr.,13.14,0.65,₹ 10,1.82%,₹ 13.89 Cr.,₹ 5.33 Cr.,30.71%,21.24%,4.28%,5.37%,,,,,,,
INDNIPPON,₹ 849.1 Cr.,₹ 836.18 Cr.,2.26 Cr.,14.06,1.56,₹ 5,1.65%,₹ 12.91 Cr.,₹ 0 Cr.,70.39%,17.67%,8.53%,11.03%,,,,,,,
DEEPINDS,₹ 917.92 Cr.,₹ 916.3 Cr.,3.2 Cr.,12.63,0.8,₹ 10,1.13%,₹ 27.58 Cr.,₹ 25.96 Cr.,63.49%,52.18%,6.55%,8.39%,,,,,,,
AGARIND,₹ 966.65 Cr.,₹ 1044.76 Cr.,1.5 Cr.,19.03,3.34,₹ 10,0.31%,₹ 45.63 Cr.,₹ 123.74 Cr.,57.20%,68.64%,19.36%,20.19%,,,,,,,
GANESHBE,₹ 1059.57 Cr.,₹ 1034.96 Cr.,6.52 Cr.,22.7,3.03,₹ 1,0%,₹ 44.52 Cr.,₹ 19.91 Cr.,42.80%,11.99%,12.78%,16.13%,,,,,,,
SASTASUNDR,₹ 741.5 Cr.,,3.18 Cr.,0,2.72,₹ 10,0%,,,73.92%,0,-0.14%,-0.11%,,,,,₹ 0 Cr.,₹ 0 Cr.,₹ -0.39 Cr.
LIKHITHA,₹ 996.11 Cr.,₹ 973.59 Cr.,3.95 Cr.,17.33,4.26,₹ 5,0.25%,₹ 22.52 Cr.,₹ 0 Cr.,70.03%,34.89%,26.32%,35.31%,,,,,,,
PGIL,₹ 915.63 Cr.,₹ 1110.71 Cr.,2.17 Cr.,23.71,2.66,₹ 10,1.17%,₹ 64.6 Cr.,₹ 259.68 Cr.,66.58%,21.05%,8.26%,11.52%,,,,,,,
RUSHIL,₹ 682.98 Cr.,₹ 1096.51 Cr.,1.99 Cr.,8.59,2.06,₹ 10,0.15%,₹ 6.1 Cr.,₹ 419.62 Cr.,55.03%,86.07%,8.85%,7.76%,,,,,,,
SRHHYPOLTD,₹ 796.1 Cr.,₹ 701.62 Cr.,1.72 Cr.,6.61,1,₹ 10,0.75%,₹ 113.29 Cr.,₹ 18.8 Cr.,62.09%,39.13%,21.45%,27%,,,,,,,
HEXATRADEX,₹ 849.94 Cr.,₹ 851.44 Cr.,5.52 Cr.,0,0.47,₹ 2,0%,₹ 0.54 Cr.,₹ 2.04 Cr.,92.13%,105.43%,-0.11%,-0.12%,,,,,,,
ORIENTPPR,₹ 833.89 Cr.,₹ 1032.41 Cr.,21.22 Cr.,17.71,0.56,₹ 1,0.64%,₹ 5.44 Cr.,₹ 203.96 Cr.,38.74%,32.09%,-1.91%,-2.35%,,,,,,,
ASHAPURMIN,₹ 1021.17 Cr.,₹ 1076.71 Cr.,9.55 Cr.,0,16.81,₹ 2,0.47%,₹ 12.93 Cr.,₹ 68.46 Cr.,45.22%,41.91%,-36.98%,12.26%,,,,,,,
PANACEABIO,₹ 759.2 Cr.,₹ 800.67 Cr.,6.13 Cr.,0,2.19,₹ 1,0%,₹ 42.69 Cr.,₹ 84.16 Cr.,73.59%,-31.45%,-20.27%,-16.14%,,,,,,,
RSWM,₹ 724.66 Cr.,₹ 1818.5 Cr.,4.71 Cr.,4.1,0.59,₹ 10,10.40%,₹ 8.68 Cr.,₹ 1102.52 Cr.,53.16%,64.12%,27.28%,18.55%,,,,,,,
AWHCL,₹ 726.84 Cr.,₹ 754.06 Cr.,2.83 Cr.,39.07,3.64,₹ 5,0%,₹ 3.61 Cr.,₹ 30.83 Cr.,46.23%,2.28%,10.33%,13.13%,,,,,,,
RADIOCITY,₹ 435.56 Cr.,₹ 409.49 Cr.,34.57 Cr.,202.57,0.72,₹ 2,0%,₹ 26.08 Cr.,₹ 0 Cr.,74.05%,32%,-0.94%,-0.81%,,,,,,,
NELCAST,₹ 922.21 Cr.,₹ 1140.3 Cr.,8.7 Cr.,28.81,1.99,₹ 2,0.28%,₹ 61.44 Cr.,₹ 279.54 Cr.,74.87%,50.79%,3.26%,6.57%,,,,,,,
EMAMIPAP,₹ 735.06 Cr.,₹ 1518.91 Cr.,6.05 Cr.,6.28,1.53,₹ 2,1.31%,₹ 1.75 Cr.,₹ 785.6 Cr.,74.97%,60.96%,32.55%,16.37%,,,,,,,
AMBIKCO,₹ 850.16 Cr.,₹ 570.6 Cr.,0.57 Cr.,6.05,1.04,₹ 10,2.38%,₹ 279.56 Cr.,₹ 0 Cr.,50.17%,45.34%,27.89%,38.19%,,,,,,,
ANUP,₹ 1109.9 Cr.,₹ 1057.14 Cr.,0.99 Cr.,16.69,2.64,₹ 10,0.71%,₹ 52.76 Cr.,₹ 0 Cr.,42.98%,3.26%,17.22%,17.44%,,,,,,,
KOKUYOCMLN,₹ 699.62 Cr.,₹ 762.84 Cr.,10.03 Cr.,37.57,2.76,₹ 1,0%,₹ 7.26 Cr.,₹ 70.47 Cr.,74.99%,26.13%,-1.96%,-0.15%,,,,,,,
JINDRILL,₹ 795.68 Cr.,₹ 919.27 Cr.,2.9 Cr.,6.78,0.76,₹ 5,0.18%,₹ 96.76 Cr.,₹ 220.35 Cr.,67.42%,5.53%,6.97%,8.17%,,,,,,,
SDBL,₹ 880.38 Cr.,₹ 988.79 Cr.,7.38 Cr.,38.19,2.4,₹ 5,0%,₹ 7.06 Cr.,₹ 115.48 Cr.,32.72%,12.86%,-3.57%,-0.42%,,,,,,,
SPAL,₹ 737.72 Cr.,₹ 855.27 Cr.,2.51 Cr.,7.86,1.05,₹ 10,0%,₹ 56.01 Cr.,₹ 173.57 Cr.,61.93%,37.14%,15.47%,17.61%,,,,,,,
CLNINDIA,₹ 734.35 Cr.,₹ 722.3 Cr.,2.31 Cr.,28.1,1.73,₹ 10,0%,₹ 12.05 Cr.,₹ 0 Cr.,54.37%,14.88%,10.55%,12.17%,,,,,,,
DVL,₹ 821.86 Cr.,₹ 845.77 Cr.,3.5 Cr.,6.69,0.58,₹ 10,1.71%,₹ 16.09 Cr.,₹ 40 Cr.,75%,83.19%,14.03%,16.59%,,,,,,,
SIGACHI,₹ 814.83 Cr.,₹ 780.95 Cr.,3.07 Cr.,19.15,3.18,₹ 10,0.38%,₹ 68.63 Cr.,₹ 34.75 Cr.,48.49%,32.70%,23.62%,26.55%,,,,,,,
SYNCOMF,₹ 667.4 Cr.,₹ 724.81 Cr.,94 Cr.,40.78,2.71,₹ 1,0%,₹ 0.39 Cr.,₹ 57.79 Cr.,50.57%,-10.27%,10.02%,10.61%,,,,,,,
KICL,₹ 817.36 Cr.,,0.44 Cr.,18.39,0.16,₹ 10,0%,,,74.97%,213.99,0.54%,0.75%,,,,,₹ 0 Cr.,₹ 39.58 Cr.,₹ 26.04 Cr.
MANGLMCEM,₹ 763.19 Cr.,₹ 1233.24 Cr.,2.75 Cr.,40.19,1.03,₹ 10,0.54%,₹ 153.45 Cr.,₹ 623.5 Cr.,31.96%,20.02%,11.03%,13.80%,,,,,,,
TNPETRO,₹ 742.26 Cr.,₹ 555.09 Cr.,9 Cr.,7.19,0.98,₹ 10,3.63%,₹ 229.39 Cr.,₹ 42.22 Cr.,34.54%,57.66%,26.96%,35.12%,,,,,,,
JYOTISTRUC,₹ 491.76 Cr.,₹ 2097.13 Cr.,63.45 Cr.,0,3.44,₹ 2,0%,₹ 85.11 Cr.,₹ 1690.48 Cr.,0%,0%,0%,0%,,,,,,,
HIMATSEIDE,₹ 758.61 Cr.,₹ 3237.84 Cr.,9.85 Cr.,0,0.47,₹ 5,0.65%,₹ 162.74 Cr.,₹ 2641.96 Cr.,47.57%,69.98%,9.44%,9%,,,,,,,
GREENPOWER,₹ 634.36 Cr.,₹ 923.5 Cr.,75.07 Cr.,0,0.86,₹ 10,0%,₹ 0.27 Cr.,₹ 289.41 Cr.,32.53%,1.05%,-2.65%,-0.46%,,,,,,,
JETAIRWAYS,₹ 774.17 Cr.,₹ 9313.48 Cr.,11.36 Cr.,0,0,₹ 10,0%,₹ 119.2 Cr.,₹ 8658.51 Cr.,24.99%,-98.55%,0%,0%,,,,,,,
SMCGLOBAL,₹ 795.2 Cr.,,10.47 Cr.,6.13,1.03,₹ 2,3.17%,,,67.40%,33.64,19.75%,23.70%,,,,,₹ 0 Cr.,₹ 669.94 Cr.,₹ 144.61 Cr.
TRACXN,₹ 787.43 Cr.,₹ 784.25 Cr.,10.03 Cr.,0,2.33,₹ 1,0%,₹ 3.19 Cr.,₹ 0 Cr.,35.65%,0,,,,,,,,,
NCLIND,₹ 802.88 Cr.,₹ 1165.01 Cr.,4.52 Cr.,15.29,1.03,₹ 10,1.69%,₹ 10.67 Cr.,₹ 372.8 Cr.,46.48%,16.96%,13.93%,16.81%,,,,,,,
JAIBALAJI,₹ 757.8 Cr.,₹ 3904.29 Cr.,14.55 Cr.,9.77,0,₹ 10,0%,₹ 22.09 Cr.,₹ 3168.59 Cr.,55.90%,66.72%,0%,9.16%,,,,,,,
APCL,₹ 517.58 Cr.,₹ 943.36 Cr.,2.94 Cr.,0,1.22,₹ 10,1.59%,₹ 9.22 Cr.,₹ 435 Cr.,75%,15.47%,9.78%,13.51%,,,,,,,
DLINKINDIA,₹ 924.72 Cr.,₹ 886.57 Cr.,3.55 Cr.,12.13,2.71,₹ 2,1.16%,₹ 38.15 Cr.,₹ 0 Cr.,51.02%,27.18%,15%,20.31%,,,,,,,
AURIONPRO,₹ 835.63 Cr.,₹ 847.06 Cr.,2.28 Cr.,26.38,3.25,₹ 10,0.68%,₹ 30.79 Cr.,₹ 42.22 Cr.,33%,51.21%,11.64%,14.11%,,,,,,,
RAMCOSYS,₹ 762.68 Cr.,₹ 759.59 Cr.,3.52 Cr.,0,0.89,₹ 10,0%,₹ 3.09 Cr.,₹ 0 Cr.,54.27%,-18.96%,-6.03%,-6.29%,,,,,,,
HLVLTD,₹ 725.19 Cr.,₹ 741.25 Cr.,65.93 Cr.,0,1.77,₹ 2,0%,₹ 26.75 Cr.,₹ 42.81 Cr.,49.57%,285.81%,-10.19%,-8.75%,,,,,,,
ALLSEC,₹ 742.56 Cr.,₹ 705.57 Cr.,1.52 Cr.,14.89,3.66,₹ 10,9.25%,₹ 36.99 Cr.,₹ 0 Cr.,73.39%,17.26%,61.27%,76.16%,,,,,,,
OCCL,₹ 671.48 Cr.,₹ 851.56 Cr.,1 Cr.,18.4,1.14,₹ 10,2.04%,₹ 2.04 Cr.,₹ 182.11 Cr.,51.76%,13.33%,7.33%,8.34%,,,,,,,
AGSTRA,₹ 706.57 Cr.,₹ 1251.42 Cr.,12.14 Cr.,0,1.2,₹ 10,0%,₹ 47.86 Cr.,₹ 592.71 Cr.,65.52%,-4.08%,-15.36%,10.43%,,,,,,,
63MOONS,₹ 939.77 Cr.,₹ -165.87 Cr.,4.61 Cr.,55.47,0.36,₹ 2,0%,₹ 1105.64 Cr.,₹ 0 Cr.,45.63%,0.21%,-2.34%,-2.38%,,,,,,,
ASALCBR,₹ 699.03 Cr.,₹ 622.57 Cr.,1.81 Cr.,14.9,1.98,₹ 10,0.26%,₹ 81 Cr.,₹ 4.53 Cr.,58.45%,17.64%,21.54%,28.37%,,,,,,,
BCLIND,₹ 1037.48 Cr.,₹ 1228.01 Cr.,2.42 Cr.,14.51,2.49,₹ 10,1.17%,₹ 19.2 Cr.,₹ 209.73 Cr.,61.36%,39.25%,25.80%,25.05%,,,,,,,
APEX,₹ 688.28 Cr.,₹ 847.62 Cr.,3.13 Cr.,14.58,1.37,₹ 10,1.14%,₹ 7.45 Cr.,₹ 166.79 Cr.,72.62%,11.69%,8.98%,11.77%,,,,,,,
ORIENTBELL,₹ 740.26 Cr.,₹ 708.56 Cr.,1.45 Cr.,23.26,2.48,₹ 10,0.20%,₹ 41.06 Cr.,₹ 9.36 Cr.,64.45%,30.22%,11.83%,13.37%,,,,,,,
TEXINFRA,₹ 697.66 Cr.,₹ 719.69 Cr.,12.74 Cr.,192.99,0.93,₹ 1,0.14%,₹ 1.7 Cr.,₹ 23.73 Cr.,65.11%,42.80%,0.31%,0.71%,,,,,,,
ZOTA,₹ 786.64 Cr.,₹ 784.44 Cr.,2.52 Cr.,125.14,8.08,₹ 10,0.48%,₹ 2.2 Cr.,₹ 0 Cr.,68.12%,23.12%,13.41%,18.09%,,,,,,,
PENIND,₹ 991.85 Cr.,₹ 1513.99 Cr.,13.49 Cr.,23.26,1.38,₹ 5,0%,₹ 65.34 Cr.,₹ 587.48 Cr.,39.74%,31.53%,4.83%,9.34%,,,,,,,
SATINDLTD,₹ 813.65 Cr.,₹ 810.66 Cr.,11.31 Cr.,91.08,6.99,₹ 2,0.21%,₹ 3.19 Cr.,₹ 0.21 Cr.,51.59%,221.31%,4.05%,4.87%,,,,,,,
INDRAMEDCO,₹ 759.05 Cr.,₹ 690.6 Cr.,9.17 Cr.,9.31,2.08,₹ 10,3.05%,₹ 68.45 Cr.,₹ 0 Cr.,51%,44.80%,19.60%,27.58%,,,,,,,
KHAICHEM,₹ 603.76 Cr.,₹ 679.37 Cr.,9.7 Cr.,18.33,2.15,₹ 1,0.48%,₹ 60 Cr.,₹ 135.62 Cr.,74.99%,71.32%,37.60%,36.09%,,,,,,,
BLISSGVS,₹ 818.12 Cr.,₹ 754.25 Cr.,10.42 Cr.,8.31,0.88,₹ 1,0.64%,₹ 149.48 Cr.,₹ 85.61 Cr.,34.46%,36.70%,11.68%,14.68%,,,,,,,
INDIANHUME,₹ 690.86 Cr.,₹ 1233.32 Cr.,4.84 Cr.,11.62,1.02,₹ 2,1.41%,₹ 40.19 Cr.,₹ 582.65 Cr.,69.92%,22.47%,9.23%,12.06%,,,,,,,
SHAKTIPUMP,₹ 760.3 Cr.,₹ 818.28 Cr.,1.84 Cr.,20.81,2.12,₹ 10,0.49%,₹ 39.9 Cr.,₹ 97.89 Cr.,55.95%,26.73%,17.24%,20.32%,,,,,,,
XCHANGING,₹ 671.76 Cr.,₹ 469.54 Cr.,11.14 Cr.,44.08,2.4,₹ 10,0%,₹ 202.22 Cr.,₹ 0 Cr.,75%,7.03%,8.66%,8.96%,,,,,,,
VISAKAIND,₹ 650.28 Cr.,₹ 790.29 Cr.,1.73 Cr.,8.14,0.85,₹ 10,3.97%,₹ 27.17 Cr.,₹ 167.18 Cr.,48.42%,23.52%,17.50%,20.99%,,,,,,,
TFCILTD,₹ 661.53 Cr.,,9.04 Cr.,7.74,0.67,₹ 10,1.64%,,,17.94%,-0.28,9.87%,10.46%,,,,,₹ 1804.35 Cr.,₹ 257.73 Cr.,₹ 85.32 Cr.
TRIL,₹ 809.3 Cr.,₹ 1079.89 Cr.,13.26 Cr.,25.59,2.17,₹ 1,0.25%,₹ 44.64 Cr.,₹ 315.23 Cr.,74.91%,54.44%,3.82%,10.11%,,,,,,,
RAMRAT,₹ 693.44 Cr.,₹ 888.66 Cr.,4.4 Cr.,15.51,2.43,₹ 5,1.56%,₹ 8.68 Cr.,₹ 203.91 Cr.,73.04%,45.10%,21.05%,17.56%,,,,,,,
ENIL,₹ 632.11 Cr.,₹ 627.13 Cr.,4.77 Cr.,0,0.84,₹ 10,0.75%,₹ 4.98 Cr.,₹ 0 Cr.,71.15%,14.65%,-3.49%,-2.56%,,,,,,,
VASCONEQ,₹ 691.07 Cr.,₹ 771.78 Cr.,21.73 Cr.,13.42,0.81,₹ 10,0%,₹ 56.93 Cr.,₹ 137.65 Cr.,32.20%,29.11%,4.53%,6.09%,,,,,,,
BLKASHYAP,₹ 660.54 Cr.,₹ 966.68 Cr.,22.54 Cr.,11.1,1.05,₹ 1,0%,₹ 28.05 Cr.,₹ 334.19 Cr.,61.56%,52.21%,11.76%,14.81%,,,,,,,
ROTO,₹ 918.91 Cr.,₹ 908.54 Cr.,1.57 Cr.,37.31,5.91,₹ 2,0.49%,₹ 24.64 Cr.,₹ 14.27 Cr.,68.86%,31%,20.77%,26.92%,,,,,,,
KOPRAN,₹ 637.59 Cr.,₹ 671.94 Cr.,4.82 Cr.,20.9,1.63,₹ 10,2.26%,₹ 2.55 Cr.,₹ 36.9 Cr.,44.30%,-8.22%,3.75%,5.64%,,,,,,,
GFLLIMITED,₹ 684.37 Cr.,,10.99 Cr.,835.12,2.19,₹ 1,0%,,,68.72%,69.01,0.31%,0.49%,,,,,₹ 0 Cr.,₹ 1.76 Cr.,₹ 0.97 Cr.
RAJMET,₹ 369.1 Cr.,₹ 418.23 Cr.,27.65 Cr.,27.33,7.51,₹ 1,0%,₹ 2.29 Cr.,₹ 51.42 Cr.,73.24%,62.98%,40.76%,25.31%,,,,,,,
ROHLTD,₹ 666.71 Cr.,₹ 696.24 Cr.,2.74 Cr.,28.04,3.2,₹ 10,0%,₹ 30.99 Cr.,₹ 60.52 Cr.,63.60%,66.73%,-0.39%,4.42%,,,,,,,
LINCOLN,₹ 678.61 Cr.,₹ 662.22 Cr.,2 Cr.,9.51,1.38,₹ 10,0.44%,₹ 18.43 Cr.,₹ 2.04 Cr.,46.34%,11.63%,17.35%,24.29%,,,,,,,
BHAGERIA,₹ 567.81 Cr.,₹ 561.92 Cr.,4.36 Cr.,20.11,1.14,₹ 5,3.07%,₹ 23.51 Cr.,₹ 17.62 Cr.,71.44%,49.36%,14.72%,19.23%,,,,,,,
CREATIVE,₹ 594.09 Cr.,₹ 652.51 Cr.,1.26 Cr.,30.58,6.66,₹ 10,0.11%,₹ 5.91 Cr.,₹ 64.33 Cr.,63.48%,80.48%,27.18%,24.54%,,,,,,,
JAYBARMARU,₹ 617.24 Cr.,₹ 988.08 Cr.,4.33 Cr.,16.66,1.25,₹ 5,0.88%,₹ 3.74 Cr.,₹ 374.58 Cr.,59.35%,38.67%,5.95%,9.01%,,,,,,,
TALBROAUTO,₹ 595.12 Cr.,₹ 678.74 Cr.,1.23 Cr.,14.72,1.97,₹ 10,0.52%,₹ 5.38 Cr.,₹ 89 Cr.,58.32%,29.95%,15.11%,17.68%,,,,,,,
SMSPHARMA,₹ 598.07 Cr.,₹ 811.52 Cr.,8.47 Cr.,118.01,1.23,₹ 1,0.42%,₹ 46.66 Cr.,₹ 260.11 Cr.,64.17%,-7.69%,14.76%,12.26%,,,,,,,
CHEVIOT,₹ 653.31 Cr.,₹ 636.73 Cr.,0.6 Cr.,11.7,1.44,₹ 10,5.58%,₹ 24.3 Cr.,₹ 7.72 Cr.,74.83%,44.31%,16.25%,20.60%,,,,,,,
KANORICHEM,₹ 544.2 Cr.,₹ 636.18 Cr.,4.37 Cr.,33.78,0.84,₹ 5,0.78%,₹ 5.02 Cr.,₹ 97 Cr.,74.40%,67.32%,3.99%,6.68%,,,,,,,
DECCANCE,₹ 670.68 Cr.,₹ 539.13 Cr.,1.4 Cr.,16.94,0.99,₹ 5,1.04%,₹ 297.68 Cr.,₹ 166.13 Cr.,56.24%,4.47%,14.47%,17.25%,,,,,,,
FAZE3Q,₹ 662.45 Cr.,₹ 764.56 Cr.,2.43 Cr.,11.23,2.48,₹ 10,0%,₹ 55.8 Cr.,₹ 157.91 Cr.,51.53%,55.89%,25.67%,24.41%,,,,,,,
ZUARI,₹ 609.84 Cr.,₹ 1768.85 Cr.,4.21 Cr.,0.76,0.95,₹ 10,0%,₹ 69.71 Cr.,₹ 1228.72 Cr.,65.28%,0%,0%,4.10%,,,,,,,
3IINFOLTD,0,0,16.84 Cr.,0,,0,0%,0,0,,,,,,,,,,,
HPAL,₹ 634.12 Cr.,₹ 599.94 Cr.,1.84 Cr.,82.58,4.39,₹ 10,0%,₹ 47.68 Cr.,₹ 13.5 Cr.,71.35%,0,,,,,,,,,
BETA,₹ 617.21 Cr.,₹ 608.47 Cr.,0.96 Cr.,43.32,7.97,₹ 10,0%,₹ 15.58 Cr.,₹ 6.84 Cr.,66.71%,57.13%,20.23%,26.91%,,,,,,,
BINDALAGRO,₹ 622.76 Cr.,,25.68 Cr.,13.78,0.25,₹ 10,6.17%,,,64.34%,23.89,1.87%,2.53%,,,,,₹ 0 Cr.,₹ 24.01 Cr.,₹ 46.05 Cr.
SUMMITSEC,₹ 645.93 Cr.,,1.09 Cr.,34.6,0.29,₹ 10,0%,,,74.65%,97.28,0.87%,1.21%,,,,,₹ 0 Cr.,₹ 29.63 Cr.,₹ 19.83 Cr.
HERCULES,₹ 660.96 Cr.,₹ 646.04 Cr.,3.2 Cr.,34.65,0.98,₹ 1,1.25%,₹ 14.92 Cr.,₹ 0 Cr.,69.61%,38.37%,2.68%,3.32%,,,,,,,
CLSEL,₹ 865.24 Cr.,₹ 976.55 Cr.,5.17 Cr.,8.45,1.77,₹ 2,0%,₹ 6.44 Cr.,₹ 117.75 Cr.,73.87%,9.51%,17.12%,19.29%,,,,,,,
DMCC,₹ 649.56 Cr.,₹ 739.94 Cr.,2.49 Cr.,166.68,3.4,₹ 10,0.39%,₹ 2.64 Cr.,₹ 93.01 Cr.,53.84%,63.07%,11.67%,15.42%,,,,,,,
ONWARDTEC,₹ 673.74 Cr.,₹ 624.07 Cr.,2.23 Cr.,58.67,4.47,₹ 10,0.98%,₹ 50.27 Cr.,₹ 0.6 Cr.,45.43%,35.75%,8.62%,12.58%,,,,,,,
DHARMAJ,₹ 547.52 Cr.,₹ 583.49 Cr.,3.38 Cr.,19.08,1.61,₹ 10,0.04%,₹ 0.95 Cr.,₹ 36.93 Cr.,68.65%,0,,,,,,,,,
BHARATWIRE,₹ 647.83 Cr.,₹ 913.48 Cr.,6.44 Cr.,11.99,1.3,₹ 10,0%,₹ 3.21 Cr.,₹ 268.85 Cr.,36.78%,64.16%,3.10%,5.78%,,,,,,,
ARIHANTCAP,₹ 473.71 Cr.,,10.41 Cr.,11.14,2.04,₹ 1,0.07%,,,74.12%,39.31,29.65%,30.37%,,,,,₹ 0 Cr.,₹ 152.38 Cr.,₹ 54.07 Cr.
RML,₹ 765.28 Cr.,₹ 1203.66 Cr.,1.63 Cr.,8.91,1.73,₹ 10,0%,₹ 8.13 Cr.,₹ 446.51 Cr.,72.65%,35.55%,10.88%,10.22%,,,,,,,
SCPL,₹ 555.29 Cr.,₹ 628.54 Cr.,1.05 Cr.,30.13,7.23,₹ 10,0%,₹ 0.94 Cr.,₹ 74.19 Cr.,65.58%,40.92%,28.79%,21.79%,,,,,,,
RUBYMILLS,₹ 630.51 Cr.,₹ 899.3 Cr.,3.34 Cr.,14.34,1.15,₹ 5,0.79%,₹ 9.98 Cr.,₹ 278.77 Cr.,74.90%,61.32%,6.04%,5.47%,,,,,,,
GANDHITUBE,₹ 594.66 Cr.,₹ 592.27 Cr.,1.22 Cr.,13.13,3.46,₹ 5,2.05%,₹ 2.39 Cr.,₹ 0 Cr.,73.53%,20.67%,24.17%,31.69%,,,,,,,
CONTROLPR,₹ 742.6 Cr.,₹ 734.18 Cr.,1.63 Cr.,14.98,2.72,₹ 10,1.96%,₹ 8.42 Cr.,₹ 0 Cr.,51.78%,24.83%,17.63%,21.83%,,,,,,,
NRL,₹ 522.35 Cr.,₹ 492.37 Cr.,4.58 Cr.,27.68,5.81,₹ 10,0%,₹ 32.22 Cr.,₹ 2.23 Cr.,72.53%,0,,,,,,,,,
SUKHJITS,₹ 624.96 Cr.,₹ 857.64 Cr.,1.56 Cr.,8.11,1.3,₹ 10,2.50%,₹ 11.83 Cr.,₹ 244.51 Cr.,66.18%,65.60%,20.20%,20.20%,,,,,,,
SHREYAS,₹ 568.48 Cr.,₹ 738.46 Cr.,2.2 Cr.,2.24,0.71,₹ 10,0.97%,₹ 65.32 Cr.,₹ 235.3 Cr.,70.44%,-8.28%,49.77%,38.66%,,,,,,,
NAHARPOLY,₹ 541.8 Cr.,₹ 713.95 Cr.,2.46 Cr.,8.6,1.02,₹ 5,1.13%,₹ 1 Cr.,₹ 173.15 Cr.,70.71%,61.11%,19.21%,20.83%,,,,,,,
ASIANTILES,₹ 520.29 Cr.,₹ 503.77 Cr.,12.67 Cr.,28.37,0.41,₹ 10,1.27%,₹ 21.87 Cr.,₹ 5.35 Cr.,29.02%,30.20%,12.90%,15.53%,,,,,,,
HPL,₹ 550.73 Cr.,₹ 1032.15 Cr.,6.43 Cr.,18.54,0.71,₹ 10,0.17%,₹ 68.69 Cr.,₹ 550.11 Cr.,72.66%,18.12%,0.94%,5.75%,,,,,,,
DPABHUSHAN,₹ 782.37 Cr.,₹ 937.18 Cr.,2.23 Cr.,15.55,4.37,₹ 10,0.28%,₹ 4.71 Cr.,₹ 159.53 Cr.,74.73%,42.13%,34.38%,25.29%,,,,,,,
VIKASLIFE,₹ 584.22 Cr.,₹ 585.55 Cr.,144.25 Cr.,16.69,1.61,₹ 1,0%,₹ 5.24 Cr.,₹ 6.57 Cr.,11.36%,293.32%,21.05%,25.39%,,,,,,,
INDOAMIN,₹ 644.41 Cr.,₹ 831.79 Cr.,7.07 Cr.,21.95,3.23,₹ 5,0.55%,₹ 18.92 Cr.,₹ 206.3 Cr.,68.35%,44.65%,14.61%,13.86%,,,,,,,
DCMSRIND,₹ 608.95 Cr.,₹ 1136.31 Cr.,8.7 Cr.,13.71,0.9,₹ 2,2.15%,₹ 14.83 Cr.,₹ 542.2 Cr.,50.11%,9.27%,10.48%,11.59%,,,,,,,
SNOWMAN,₹ 574.78 Cr.,₹ 664.48 Cr.,16.71 Cr.,71.15,1.38,₹ 10,0%,₹ 31.46 Cr.,₹ 121.16 Cr.,40.25%,20.69%,0.40%,4.30%,,,,,,,
YUKEN,₹ 646.38 Cr.,₹ 729.66 Cr.,1.2 Cr.,56.62,3.1,₹ 10,0.15%,₹ 4.31 Cr.,₹ 87.59 Cr.,52.50%,55.33%,6.61%,9.08%,,,,,,,
DIGISPICE,₹ 501.29 Cr.,₹ 467.9 Cr.,23.15 Cr.,0,2.35,₹ 3,0%,₹ 33.39 Cr.,₹ 0 Cr.,73.18%,1.16%,-1.80%,-0.97%,,,,,,,
ATULAUTO,₹ 846.46 Cr.,₹ 921.48 Cr.,2.19 Cr.,0,3.16,₹ 5,0%,₹ 5.36 Cr.,₹ 80.38 Cr.,52.70%,-0.70%,-8.85%,-8.67%,,,,,,,
REFEX,₹ 603.41 Cr.,₹ 617.5 Cr.,2.21 Cr.,6.75,2.29,₹ 10,0%,₹ 0.99 Cr.,₹ 15.08 Cr.,52.70%,-29.83%,28.06%,41.68%,,,,,,,
LINC,₹ 809.65 Cr.,₹ 812.44 Cr.,1.49 Cr.,28.86,4.9,₹ 10,0.33%,₹ 0.2 Cr.,₹ 2.99 Cr.,58.83%,38.30%,5.86%,8.03%,,,,,,,
SCHAND,₹ 630 Cr.,₹ 672.75 Cr.,3.52 Cr.,28.88,0.81,₹ 5,0%,₹ 28.55 Cr.,₹ 71.3 Cr.,47.14%,18.82%,1.12%,2.73%,,,,,,,
BALAXI,₹ 550.5 Cr.,₹ 551.58 Cr.,1 Cr.,33.63,7.66,₹ 10,0.09%,₹ 0.84 Cr.,₹ 1.93 Cr.,72.69%,16.60%,29%,37.14%,,,,,,,
APOLLO,₹ 674.93 Cr.,₹ 774.62 Cr.,2.08 Cr.,34.73,2.04,₹ 10,0.08%,₹ 16.05 Cr.,₹ 115.74 Cr.,59.10%,19.76%,4.68%,8.75%,,,,,,,
JUBLINDS,₹ 574.51 Cr.,₹ 574.13 Cr.,1.51 Cr.,0,1.94,₹ 10,0%,₹ 0.38 Cr.,₹ 0 Cr.,74.78%,-95.64%,-0.32%,-0.32%,,,,,,,
